driver,team,position,status,points,fastestLap,fastestNum,slowestLap,slowestNum,finalTime,gap
HAM,Ferrari,1,Finished,8.0,01:35.399,2,01:38.030,15,00:30:39.965,00:30:39.965
PIA,McLaren,2,Finished,7.0,01:35.854,7,01:38.748,17,00:30:46.854,06.889
VER,Red Bull Racing,3,Finished,6.0,01:35.745,2,01:39.625,16,00:30:49.769,09.804
RUS,Mercedes,4,Finished,5.0,01:35.891,4,01:39.034,19,00:30:51.557,11.592
LEC,Ferrari,5,Finished,4.0,01:36.255,4,01:39.086,19,00:30:52.155,12.190
TSU,Racing Bulls,6,Finished,3.0,01:36.388,4,01:39.344,18,00:31:02.253,22.288
ANT,Mercedes,7,Finished,2.0,01:36.311,5,01:39.278,17,00:31:03.003,23.038
NOR,McLaren,8,Finished,1.0,01:36.708,4,01:38.984,15,00:31:03.436,23.471
STR,Aston Martin,9,Finished,0.0,01:36.435,4,01:40.063,17,00:31:04.881,24.916
ALO,Aston Martin,10,Finished,0.0,01:37.058,8,01:40.867,19,00:31:18.183,38.218
ALB,Williams,11,Finished,0.0,01:37.344,7,01:40.565,18,00:31:19.257,39.292
GAS,Alpine,12,Finished,0.0,01:37.481,3,01:39.645,16,00:31:19.614,39.649
HAD,Racing Bulls,13,Finished,0.0,01:37.549,3,01:40.727,17,00:31:22.365,42.400
LAW,Red Bull Racing,14,Finished,0.0,01:37.163,4,01:40.299,17,00:31:24.869,44.904
BEA,Haas F1 Team,15,Finished,0.0,01:37.135,3,01:41.315,17,00:31:25.614,45.649
OCO,Haas F1 Team,16,Finished,0.0,01:37.554,3,01:40.137,11,00:31:26.147,46.182
SAI,Williams,17,Finished,0.0,01:35.819,13,01:54.357,12,00:31:31.341,51.376
BOR,Kick Sauber,18,Finished,0.0,01:37.475,3,01:48.294,19,00:31:33.905,53.940
HUL,Kick Sauber,19,Finished,0.0,01:36.529,4,01:46.846,19,00:31:36.647,56.682
DOO,Alpine,20,Finished,0.0,01:37.686,3,01:52.236,19,00:31:50.177,01:10.212
